"","x"
"1","Algeria"
"2","Austria"
"3","Belgium"
"4","Brazil"
"5","Cameroon"
"6","Canada"
"7","Chile"
"8","China"
"9","Colombia"
"10","Czechia"
"11","Denmark"
"12","Ecuador"
"13","England"
"14","Estonia"
"15","Eswatini"
"16","Ethiopia"
"17","Finland"
"18","France"
"19","Gambia"
"20","Germany"
"21","Greece"
"22","India"
"23","Ireland"
"24","Italy"
"25","Japan"
"26","Mexico"
"27","Netherlands"
"28","New Zealand"
"29","Northern Ireland"
"30","Norway"
"31","Pakistan"
"32","Philippines"
"33","Portugal"
"34","Romania"
"35","South Africa"
"36","South Korea"
"37","Spain"
"38","Sweden"
"39","Switzerland"
"40","Taiwan"
"41","USA"
